Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34
;;;;;;;Playing Time;Playing Time;Playing Time;Playing Time;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Expected;Expected;Expected;Expected;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;;-additional
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;xG;npxG;xAG;npxG+xAG;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;-9999
23;Alphonse Areola;fr FRA;GK;West Ham;29-241;1993;1;0;62;0.7;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;2f965a72
24;Joe Aribo;ng NGA;MFFW;Southampton;26-097;1996;12;9;818;9.1;2;0;2;0;0;1;0;0.22;0.00;0.22;0.22;0.22;1.5;1.5;0.4;1.8;0.16;0.04;0.20;0.16;0.20;Matches;328f7d51
25;Adam Armstrong;eng ENG;MFFW;Southampton;25-258;1997;12;10;785;8.7;1;1;1;0;0;0;0;0.11;0.11;0.23;0.11;0.23;0.9;0.9;0.5;1.5;0.11;0.06;0.17;0.11;0.17;Matches;68c720b5
26;Stuart Armstrong;sct SCO;MF;Southampton;30-210;1992;11;4;484;5.4;1;0;1;0;0;2;0;0.19;0.00;0.19;0.19;0.19;0.9;0.9;0.9;1.7;0.16;0.16;0.32;0.16;0.32;Matches;97333cf5
27;Kepa Arrizabalaga;es ESP;GK;Chelsea;28-023;1994;5;5;450;5.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;28d596a0
28;Pierre-Emerick Aubameyang;ga GAB;FW;Chelsea;33-130;1989;4;3;214;2.4;1;0;1;0;0;0;0;0.42;0.00;0.42;0.42;0.42;0.2;0.2;0.3;0.5;0.08;0.15;0.23;0.08;0.23;Matches;d5dd5f1f
29;Ludwig Augustinsson;se SWE;DF;Aston Villa;28-188;1994;1;1;44;0.5;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;9fec8860
30;Serge Aurier;ci CIV;DF;Nott'ham Forest;29-306;1992;4;3;260;2.9;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.05;0.05;0.00;0.05;Matches;5c2b4f07
31;Taiwo Awoniyi;ng NGA;FWMF;Nott'ham Forest;25-075;1997;11;5;437;4.9;3;0;3;0;0;0;0;0.62;0.00;0.62;0.62;0.62;3.4;3.4;0.7;4.0;0.69;0.14;0.83;0.69;0.83;Matches;e5478b87
32;Jordan Ayew;gh GHA;FWMF;Crystal Palace;31-045;1991;11;9;728;8.1;0;1;0;0;0;0;0;0.00;0.12;0.12;0.00;0.12;0.7;0.7;1.0;1.6;0.08;0.12;0.20;0.08;0.20;Matches;da052c14
33;Luke Ayling;eng ENG;DF;Leeds United;31-062;1991;4;1;141;1.6;0;1;0;0;0;0;0;0.00;0.64;0.64;0.00;0.64;0.2;0.2;0.1;0.3;0.11;0.08;0.18;0.11;0.18;Matches;420d7c7d
34;César Azpilicueta;es ESP;DF;Chelsea;33-059;1989;9;5;537;6.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.6;0.7;0.02;0.11;0.12;0.02;0.12;Matches;53cad200
35;Leon Bailey;jm JAM;FWMF;Aston Villa;25-078;1997;11;9;681;7.6;2;2;2;0;0;2;0;0.26;0.26;0.53;0.26;0.53;1.5;1.5;1.6;3.2;0.20;0.21;0.42;0.20;0.42;Matches;3a233281
36;Stefan Bajcetic;es ESP;MF;Liverpool;18-004;2004;1;0;21;0.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;32e8417f
37;Patrick Bamford;eng ENG;FWMF;Leeds United;29-051;1993;9;4;390;4.3;0;0;0;0;1;0;0;0.00;0.00;0.00;0.00;0.00;4.0;3.2;0.2;3.4;0.92;0.05;0.97;0.74;0.79;Matches;93feac6e
38;Shandon Baptiste;gd GRN;MF;Brentford;24-201;1998;12;4;431;4.8;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.7;0.9;0.04;0.15;0.19;0.04;0.19;Matches;2886c9b5
39;Harvey Barnes;eng ENG;MF;Leicester City;24-321;1997;10;10;816;9.1;4;0;4;0;0;0;0;0.44;0.00;0.44;0.44;0.44;2.2;2.2;0.4;2.6;0.24;0.04;0.29;0.24;0.29;Matches;3ea50f67
